Id,Weekly_Sales
1_8_2013-05-17,0
1_8_2013-05-24,0
1_8_2013-05-31,0
1_8_2013-06-07,0
1_8_2013-06-14,0
1_8_2013-06-21,0
1_8_2013-06-28,0
1_8_2013-07-05,0
1_8_2013-07-12,0
1_8_2013-07-19,0
1_8_2013-07-26,0
1_9_2012-11-02,0
1_9_2012-11-09,0
1_9_2012-11-16,0
1_9_2012-11-23,0
1_9_2012-11-30,0
1_9_2012-12-07,0
1_9_2012-12-14,0
1_9_2012-12-21,0
1_9_2012-12-28,0
1_9_2013-01-04,0
1_9_2013-01-11,0
1_9_2013-01-18,0
1_9_2013-01-25,0
1_9_2013-02-01,0
1_9_2013-02-08,0
1_9_2013-02-15,0
1_9_2013-02-22,0
1_9_2013-03-01,0
1_9_2013-03-08,0
1_9_2013-03-15,0
1_9_2013-03-22,0
1_9_2013-03-29,0
1_9_2013-04-05,0
1_9_2013-04-12,0
1_9_2013-04-19,0
1_9_2013-04-26,0
1_9_2013-05-03,0
1_9_2013-05-10,0
1_9_2013-05-17,0
1_9_2013-05-24,0
1_9_2013-05-31,0
1_9_2013-06-07,0
1_9_2013-06-14,0
1_9_2013-06-21,0
1_9_2013-06-28,0
1_9_2013-07-05,0
1_9_2013-07-12,0
1_9_2013-07-19,0
1_9_2013-07-26,0
1_10_2012-11-02,0
1_10_2012-11-09,0
1_10_2012-11-16,0
1_10_2012-11-23,0
1_10_2012-11-30,0
1_10_2012-12-07,0
1_10_2012-12-14,0
1_10_2012-12-21,0
1_10_2012-12-28,0
1_10_2013-01-04,0
1_10_2013-01-11,0
1_10_2013-01-18,0
1_10_2013-01-25,0
1_10_2013-02-01,0
1_10_2013-02-08,0
1_10_2013-02-15,0
1_10_2013-02-22,0
1_10_2013-03-01,0
1_10_2013-03-08,0
1_10_2013-03-15,0
1_10_2013-03-22,0
1_10_2013-03-29,0
1_10_2013-04-05,0
1_10_2013-04-12,0
1_10_2013-04-19,0
1_10_2013-04-26,0
1_10_2013-05-03,0
1_10_2013-05-10,0
1_10_2013-05-17,0
1_10_2013-05-24,0
1_10_2013-05-31,0
1_10_2013-06-07,0
1_10_2013-06-14,0
1_10_2013-06-21,0
1_10_2013-06-28,0
1_10_2013-07-05,0
1_10_2013-07-12,0
1_10_2013-07-19,0
1_10_2013-07-26,0
1_11_2012-11-02,0
1_11_2012-11-09,0
1_11_2012-11-16,0
1_11_2012-11-23,0
1_11_2012-11-30,0
1_11_2012-12-07,0
1_11_2012-12-14,0
1_11_2012-12-21,0
1_11_2012-12-28,0
1_11_2013-01-04,0
1_11_2013-01-11,0
1_11_2013-01-18,0
1_11_2013-01-25,0
1_11_2013-02-01,0
1_11_2013-02-08,0
1_11_2013-02-15,0
1_11_2013-02-22,0
1_11_2013-03-01,0
1_11_2013-03-08,0
1_11_2013-03-15,0
1_11_2013-03-22,0
1_11_2013-03-29,0
1_11_2013-04-05,0
1_11_2013-04-12,0
1_11_2013-04-19,0
1_11_2013-04-26,0
1_11_2013-05-03,0
1_11_2013-05-10,0
1_11_2013-05-17,0
1_11_2013-05-24,0
1_11_2013-05-31,0
1_11_2013-06-07,0
1_11_2013-06-14,0
1_11_2013-06-21,0
1_11_2013-06-28,0
1_11_2013-07-05,0
1_11_2013-07-12,0
1_11_2013-07-19,0
1_11_2013-07-26,0
1_12_2012-11-02,0
1_12_2012-11-09,0
1_12_2012-11-16,0
1_12_2012-11-23,0
1_12_2012-11-30,0
1_12_2012-12-07,0
1_12_2012-12-14,0
1_12_2012-12-21,0
1_12_2012-12-28,0
1_12_2013-01-04,0
1_12_2013-01-11,0
1_12_2013-01-18,0
1_12_2013-01-25,0
1_12_2013-02-01,0
1_12_2013-02-08,0
1_12_2013-02-15,0
1_12_2013-02-22,0
1_12_2013-03-01,0
1_12_2013-03-08,0
1_12_2013-03-15,0
1_12_2013-03-22,0
1_12_2013-03-29,0
1_12_2013-04-05,0
1_12_2013-04-12,0
1_12_2013-04-19,0
1_12_2013-04-26,0
1_12_2013-05-03,0
1_12_2013-05-10,0
1_12_2013-05-17,0
1_12_2013-05-24,0
1_12_2013-05-31,0
1_12_2013-06-07,0
1_12_2013-06-14,0
1_12_2013-06-21,0
1_12_2013-06-28,0
1_12_2013-07-05,0
1_12_2013-07-12,0
1_12_2013-07-19,0
1_12_2013-07-26,0
1_13_2012-11-02,0
1_13_2012-11-09,0
1_13_2012-11-16,0
1_13_2012-11-23,0
1_13_2012-11-30,0
1_13_2012-12-07,0
1_13_2012-12-14,0
1_13_2012-12-21,0
1_13_2012-12-28,0
1_13_2013-01-04,0
1_13_2013-01-11,0
1_13_2013-01-18,0
1_13_2013-01-25,0
1_13_2013-02-01,0
1_13_2013-02-08,0
1_13_2013-02-15,0
1_13_2013-02-22,0
1_13_2013-03-01,0
1_13_2013-03-08,0
1_13_2013-03-15,0
1_13_2013-03-22,0
1_13_2013-03-29,0
1_13_2013-04-05,0
1_13_2013-04-12,0
1_13_2013-04-19,0
1_13_2013-04-26,0
1_13_2013-05-03,0
1_13_2013-05-10,0
1_13_2013-05-17,0
1_13_2013-05-24,0
1_13_2013-05-31,0
1_13_2013-06-07,0
1_13_2013-06-14,0
1_13_2013-06-21,0
1_13_2013-06-28,0
1_13_2013-07-05,0
1_13_2013-07-12,0
1_13_2013-07-19,0
1_13_2013-07-26,0
1_14_2012-11-02,0
1_14_2012-11-09,0
1_14_2012-11-16,0
1_14_2012-11-23,0
1_14_2012-11-30,0
1_14_2012-12-07,0
1_14_2012-12-14,0
1_14_2012-12-21,0
1_14_2012-12-28,0
1_14_2013-01-04,0
1_14_2013-01-11,0
1_14_2013-01-18,0
1_14_2013-01-25,0
1_14_2013-02-01,0
1_14_2013-02-08,0
1_14_2013-02-15,0
1_14_2013-02-22,0
1_14_2013-03-01,0
1_14_2013-03-08,0
1_14_2013-03-15,0
1_14_2013-03-22,0
1_14_2013-03-29,0
1_14_2013-04-05,0
1_14_2013-04-12,0
1_14_2013-04-19,0
1_14_2013-04-26,0
1_14_2013-05-03,0
1_14_2013-05-10,0
1_14_2013-05-17,0
1_14_2013-05-24,0
1_14_2013-05-31,0
1_14_2013-06-07,0
1_14_2013-06-14,0
1_14_2013-06-21,0
1_14_2013-06-28,0
1_14_2013-07-05,0
1_14_2013-07-12,0
1_14_2013-07-19,0
1_14_2013-07-26,0
1_16_2012-11-02,0
1_16_2012-11-09,0
1_16_2012-11-16,0
1_16_2012-11-23,0
1_16_2012-11-30,0
1_16_2012-12-07,0
1_16_2012-12-14,0
1_16_2012-12-21,0
1_16_2012-12-28,0
1_16_2013-01-04,0
1_16_2013-01-11,0
1_16_2013-01-18,0
1_16_2013-01-25,0
1_16_2013-02-01,0
1_16_2013-02-08,0
1_16_2013-02-15,0
1_16_2013-02-22,0
1_16_2013-03-01,0
1_16_2013-03-08,0
1_16_2013-03-15,0
1_16_2013-03-22,0
1_16_2013-03-29,0
1_16_2013-04-05,0
1_16_2013-04-12,0
1_16_2013-04-19,0
1_16_2013-04-26,0
1_16_2013-05-03,0
1_16_2013-05-10,0
1_16_2013-05-17,0
1_16_2013-05-24,0
1_16_2013-05-31,0
1_16_2013-06-07,0
1_16_2013-06-14,0
1_16_2013-06-21,0
1_16_2013-06-28,0
1_16_2013-07-05,0
1_16_2013-07-12,0
1_16_2013-07-19,0
1_16_2013-07-26,0
1_17_2012-11-02,0
1_17_2012-11-09,0
1_17_2012-11-16,0
1_17_2012-11-23,0
1_17_2012-11-30,0
1_17_2012-12-07,0
1_17_2012-12-14,0
1_17_2012-12-21,0
1_17_2012-12-28,0
1_17_2013-01-04,0
1_17_2013-01-11,0
1_17_2013-01-18,0
1_17_2013-01-25,0
1_17_2013-02-01,0
1_17_2013-02-08,0
1_17_2013-02-15,0
1_17_2013-02-22,0
1_17_2013-03-01,0
1_17_2013-03-08,0
1_17_2013-03-15,0
1_17_2013-03-22,0
1_17_2013-03-29,0
1_17_2013-04-05,0
1_17_2013-04-12,0
1_17_2013-04-19,0
1_17_2013-04-26,0
1_17_2013-05-03,0
1_17_2013-05-10,0
1_17_2013-05-17,0
1_17_2013-05-24,0
1_17_2013-05-31,0
1_17_2013-06-07,0
1_17_2013-06-14,0
1_17_2013-06-21,0
1_17_2013-06-28,0
1_17_2013-07-05,0
1_17_2013-07-12,0
1_17_2013-07-19,0
1_17_2013-07-26,0
1_18_2012-11-02,0
1_18_2012-11-09,0
1_18_2012-11-16,0
1_18_2012-11-23,0
1_18_2012-11-30,0
1_18_2012-12-07,0
1_18_2012-12-14,0
1_18_2012-12-21,0
1_18_2012-12-28,0
1_18_2013-01-04,0
1_18_2013-01-11,0
1_18_2013-01-18,0
1_18_2013-01-25,0
1_18_2013-02-01,0
1_18_2013-02-08,0
1_18_2013-02-15,0
1_18_2013-02-22,0
1_18_2013-03-01,0
1_18_2013-03-08,0
1_18_2013-03-15,0
1_18_2013-03-22,0
1_18_2013-03-29,0
1_18_2013-04-05,0
1_18_2013-04-12,0
1_18_2013-04-19,0
1_18_2013-04-26,0
1_18_2013-05-03,0
1_18_2013-05-10,0
1_18_2013-05-17,0
1_18_2013-05-24,0
1_18_2013-06-07,0
1_18_2013-07-05,0
1_19_2012-11-02,0
1_19_2012-11-09,0
1_19_2012-11-16,0
1_19_2012-11-23,0
1_19_2012-11-30,0
1_19_2012-12-07,0
1_19_2012-12-14,0
1_19_2012-12-21,0
1_19_2012-12-28,0
1_19_2013-01-04,0
1_19_2013-01-11,0
1_19_2013-01-18,0
1_19_2013-01-25,0
1_19_2013-02-01,0
1_19_2013-02-08,0
1_19_2013-02-15,0
1_19_2013-02-22,0
1_19_2013-03-01,0
1_19_2013-03-08,0
1_19_2013-03-15,0
1_19_2013-03-22,0
1_19_2013-03-29,0
1_19_2013-04-05,0
1_19_2013-04-12,0
1_19_2013-04-19,0
1_19_2013-04-26,0
1_19_2013-05-03,0
1_19_2013-05-10,0
1_19_2013-05-17,0
1_19_2013-05-24,0
1_19_2013-05-31,0
1_19_2013-06-07,0
1_19_2013-06-14,0
1_19_2013-06-21,0
1_19_2013-06-28,0
1_19_2013-07-05,0
1_19_2013-07-12,0
1_19_2013-07-19,0
1_19_2013-07-26,0
1_20_2012-11-02,0
1_20_2012-11-09,0
1_20_2012-11-16,0
1_20_2012-11-23,0
1_20_2012-11-30,0
1_20_2012-12-07,0
1_20_2012-12-14,0
1_20_2012-12-21,0
1_20_2012-12-28,0
1_20_2013-01-04,0
1_20_2013-01-11,0
1_20_2013-01-18,0
1_20_2013-01-25,0
1_20_2013-02-01,0
1_20_2013-02-08,0
1_20_2013-02-15,0
1_20_2013-02-22,0
1_20_2013-03-01,0
1_20_2013-03-08,0
1_20_2013-03-15,0
1_20_2013-03-22,0
1_20_2013-03-29,0
1_20_2013-04-05,0
1_20_2013-04-12,0
1_20_2013-04-19,0
1_20_2013-04-26,0
1_20_2013-05-03,0
1_20_2013-05-10,0
1_20_2013-05-17,0
1_20_2013-05-24,0
1_20_2013-05-31,0
1_20_2013-06-07,0
1_20_2013-06-14,0
1_20_2013-06-21,0
1_20_2013-06-28,0
1_20_2013-07-05,0
1_20_2013-07-12,0
1_20_2013-07-19,0
1_20_2013-07-26,0
1_21_2012-11-02,0
1_21_2012-11-09,0
1_21_2012-11-16,0
1_21_2012-11-23,0
1_21_2012-11-30,0
1_21_2012-12-07,0
1_21_2012-12-14,0
1_21_2012-12-21,0
1_21_2012-12-28,0
1_21_2013-01-04,0
1_21_2013-01-11,0
1_21_2013-01-18,0
1_21_2013-01-25,0
1_21_2013-02-01,0
1_21_2013-02-08,0
1_21_2013-02-15,0
1_21_2013-02-22,0
1_21_2013-03-01,0
1_21_2013-03-08,0
1_21_2013-03-15,0
1_21_2013-03-22,0
1_21_2013-03-29,0
1_21_2013-04-05,0
1_21_2013-04-12,0
1_21_2013-04-19,0
1_21_2013-04-26,0
1_21_2013-05-03,0
1_21_2013-05-10,0
1_21_2013-05-17,0
1_21_2013-05-24,0
1_21_2013-05-31,0
1_21_2013-06-07,0
1_21_2013-06-14,0
1_21_2013-06-21,0
1_21_2013-06-28,0
1_21_2013-07-05,0
1_21_2013-07-12,0
1_21_2013-07-19,0
1_21_2013-07-26,0
1_22_2012-11-02,0
1_22_2012-11-09,0
1_22_2012-11-16,0
1_22_2012-11-23,0
1_22_2012-11-30,0
1_22_2012-12-07,0
1_22_2012-12-14,0
1_22_2012-12-21,0
1_22_2012-12-28,0
1_22_2013-01-04,0
1_22_2013-01-11,0
1_22_2013-01-18,0
1_22_2013-01-25,0
1_22_2013-02-01,0
1_22_2013-02-08,0
1_22_2013-02-15,0
1_22_2013-02-22,0
1_22_2013-03-01,0
1_22_2013-03-08,0
1_22_2013-03-15,0
1_22_2013-03-22,0
1_22_2013-03-29,0
1_22_2013-04-05,0
1_22_2013-04-12,0
1_22_2013-04-19,0
1_22_2013-04-26,0
1_22_2013-05-03,0
1_22_2013-05-10,0
1_22_2013-05-17,0
1_22_2013-05-24,0
1_22_2013-05-31,0
1_22_2013-06-07,0
1_22_2013-06-14,0
1_22_2013-06-21,0
1_22_2013-06-28,0
1_22_2013-07-05,0
1_22_2013-07-12,0
1_22_2013-07-19,0
1_22_2013-07-26,0
1_23_2012-11-02,0
1_23_2012-11-09,0
1_23_2012-11-16,0
1_23_2012-11-23,0
1_23_2012-11-30,0
1_23_2012-12-07,0
1_23_2012-12-14,0
1_23_2012-12-21,0
1_23_2012-12-28,0
1_23_2013-01-04,0
1_23_2013-01-11,0
1_23_2013-01-18,0
1_23_2013-01-25,0
1_23_2013-02-01,0
1_23_2013-02-08,0
1_23_2013-02-15,0
1_23_2013-02-22,0
1_23_2013-03-01,0
1_23_2013-03-08,0
1_23_2013-03-15,0
1_23_2013-03-22,0
1_23_2013-03-29,0
1_23_2013-04-05,0
1_23_2013-04-12,0
1_23_2013-04-19,0
1_23_2013-04-26,0
1_23_2013-05-03,0
1_23_2013-05-10,0
1_23_2013-05-17,0
1_23_2013-05-24,0
1_23_2013-05-31,0
1_23_2013-06-07,0
1_23_2013-06-14,0
1_23_2013-06-21,0
1_23_2013-06-28,0
1_23_2013-07-05,0
1_23_2013-07-12,0
1_23_2013-07-19,0
1_23_2013-07-26,0
1_24_2012-11-02,0
1_24_2012-11-09,0
1_24_2012-11-16,0
1_24_2012-11-23,0
1_24_2012-11-30,0
1_24_2012-12-07,0
1_24_2012-12-14,0
1_24_2012-12-21,0
1_24_2012-12-28,0
1_24_2013-01-04,0
1_24_2013-01-11,0
1_24_2013-01-18,0
1_24_2013-01-25,0
1_24_2013-02-01,0
1_24_2013-02-08,0
1_24_2013-02-15,0
1_24_2013-02-22,0
1_24_2013-03-01,0
1_24_2013-03-08,0
1_24_2013-03-15,0
1_24_2013-03-22,0
1_24_2013-03-29,0
1_24_2013-04-05,0
1_24_2013-04-12,0
1_24_2013-04-19,0
1_24_2013-04-26,0
1_24_2013-05-03,0
1_24_2013-05-10,0
1_24_2013-05-17,0
1_24_2013-05-24,0
1_24_2013-05-31,0
1_24_2013-06-07,0
1_24_2013-06-14,0
1_24_2013-06-21,0
1_24_2013-06-28,0
1_24_2013-07-05,0
1_24_2013-07-12,0
1_24_2013-07-19,0
1_24_2013-07-26,0
1_25_2012-11-02,0
1_25_2012-11-09,0
1_25_2012-11-16,0
1_25_2012-11-23,0
1_25_2012-11-30,0
1_25_2012-12-07,0
1_25_2012-12-14,0
1_25_2012-12-21,0
1_25_2012-12-28,0
1_25_2013-01-04,0
1_25_2013-01-11,0
1_25_2013-01-18,0
1_25_2013-01-25,0
1_25_2013-02-01,0
1_25_2013-02-08,0
1_25_2013-02-15,0
1_25_2013-02-22,0
1_25_2013-03-01,0
1_25_2013-03-08,0
1_25_2013-03-15,0
1_25_2013-03-22,0
1_25_2013-03-29,0
1_25_2013-04-05,0
1_25_2013-04-12,0
1_25_2013-04-19,0
1_25_2013-04-26,0
1_25_2013-05-03,0
1_25_2013-05-10,0
1_25_2013-05-17,0
1_25_2013-05-24,0
1_25_2013-05-31,0
1_25_2013-06-07,0
1_25_2013-06-14,0
1_25_2013-06-21,0
1_25_2013-06-28,0
1_25_2013-07-05,0
1_25_2013-07-12,0
1_25_2013-07-19,0
1_25_2013-07-26,0
1_26_2012-11-02,0
1_26_2012-11-09,0
1_26_2012-11-16,0
1_26_2012-11-23,0
1_26_2012-11-30,0
1_26_2012-12-07,0
1_26_2012-12-14,0
1_26_2012-12-21,0
1_26_2012-12-28,0
1_26_2013-01-04,0
1_26_2013-01-11,0
1_26_2013-01-18,0
1_26_2013-01-25,0
1_26_2013-02-01,0
1_26_2013-02-08,0
1_26_2013-02-15,0
1_26_2013-02-22,0
1_26_2013-03-01,0
1_26_2013-03-08,0
1_26_2013-03-15,0
1_26_2013-03-22,0
1_26_2013-03-29,0
1_26_2013-04-05,0
1_26_2013-04-12,0
1_26_2013-04-19,0
1_26_2013-04-26,0
1_26_2013-05-03,0
1_26_2013-05-10,0
1_26_2013-05-17,0
1_26_2013-05-24,0
1_26_2013-05-31,0
1_26_2013-06-07,0
1_26_2013-06-14,0
1_26_2013-06-21,0
1_26_2013-06-28,0
1_26_2013-07-05,0
1_26_2013-07-12,0
1_26_2013-07-19,0
1_26_2013-07-26,0
1_27_2012-11-02,0
1_27_2012-11-09,0
1_27_2012-11-16,0
1_27_2012-11-23,0
1_27_2012-11-30,0
1_27_2012-12-07,0
1_27_2012-12-14,0
1_27_2012-12-21,0
1_27_2012-12-28,0
1_27_2013-01-04,0
1_27_2013-01-11,0
1_27_2013-01-18,0
1_27_2013-01-25,0
1_27_2013-02-01,0
1_27_2013-02-08,0
1_27_2013-02-15,0
1_27_2013-02-22,0
1_27_2013-03-01,0
1_27_2013-03-08,0
1_27_2013-03-15,0
1_27_2013-03-22,0
1_27_2013-03-29,0
1_27_2013-04-05,0
1_27_2013-04-12,0
1_27_2013-04-19,0
1_27_2013-04-26,0
1_27_2013-05-03,0
1_27_2013-05-10,0
1_27_2013-05-17,0
1_27_2013-05-24,0
1_27_2013-05-31,0
1_27_2013-06-07,0
1_27_2013-06-14,0
1_27_2013-06-21,0
1_27_2013-06-28,0
1_27_2013-07-05,0
1_27_2013-07-12,0
1_27_2013-07-19,0
1_27_2013-07-26,0
1_28_2012-11-02,0
1_28_2012-11-09,0
1_28_2012-11-16,0
1_28_2012-11-23,0
1_28_2012-11-30,0
1_28_2012-12-07,0
1_28_2012-12-14,0
1_28_2012-12-21,0
1_28_2012-12-28,0
1_28_2013-01-04,0
1_28_2013-01-11,0
1_28_2013-01-18,0
1_28_2013-01-25,0
1_28_2013-02-01,0
1_28_2013-02-08,0
1_28_2013-02-15,0
1_28_2013-02-22,0
1_28_2013-03-01,0
1_28_2013-03-08,0
1_28_2013-03-15,0
1_28_2013-03-22,0
1_28_2013-03-29,0
1_28_2013-04-05,0
1_28_2013-04-12,0
1_28_2013-04-19,0
1_28_2013-04-26,0
1_28_2013-05-03,0
1_28_2013-05-10,0
1_28_2013-05-17,0
1_28_2013-05-24,0
1_28_2013-05-31,0
1_28_2013-06-07,0
1_28_2013-06-14,0
1_28_2013-06-21,0
1_28_2013-06-28,0
1_28_2013-07-05,0
1_28_2013-07-12,0
1_28_2013-07-19,0
1_28_2013-07-26,0
1_29_2012-11-02,0
1_29_2012-11-09,0
1_29_2012-11-16,0
1_29_2012-11-23,0
1_29_2012-11-30,0
1_29_2012-12-07,0
1_29_2012-12-14,0
1_29_2012-12-21,0
1_29_2012-12-28,0
1_29_2013-01-04,0
1_29_2013-01-11,0
1_29_2013-01-18,0
1_29_2013-01-25,0
1_29_2013-02-01,0
1_29_2013-02-08,0
1_29_2013-02-15,0
1_29_2013-02-22,0
1_29_2013-03-01,0
1_29_2013-03-08,0
1_29_2013-03-15,0
1_29_2013-03-22,0
1_29_2013-03-29,0
1_29_2013-04-05,0
1_29_2013-04-12,0
1_29_2013-04-19,0
1_29_2013-04-26,0
1_29_2013-05-03,0
1_29_2013-05-10,0
1_29_2013-05-17,0
